"datetime","bsadf_btc","bsadf_eth","bsadf_ltc"
"2016-01-01 23:59:59",NA,NA,NA
"2016-01-02 23:59:59",NA,NA,NA
"2016-01-03 23:59:59",NA,NA,NA
"2016-01-04 23:59:59",NA,NA,NA
"2016-01-05 23:59:59",NA,NA,NA
"2016-01-06 23:59:59",NA,NA,NA
"2016-01-07 23:59:59",NA,NA,NA
"2016-01-08 23:59:59",NA,NA,NA
"2016-01-09 23:59:59",NA,NA,NA
"2016-01-10 23:59:59",NA,NA,NA
"2016-01-11 23:59:59",NA,NA,NA
"2016-01-12 23:59:59",NA,NA,NA
"2016-01-13 23:59:59",NA,NA,NA
"2016-01-14 23:59:59",NA,NA,NA
"2016-01-15 23:59:59",NA,NA,NA
"2016-01-16 23:59:59",NA,NA,NA
"2016-01-17 23:59:59",NA,NA,NA
"2016-01-18 23:59:59",NA,NA,NA
"2016-01-19 23:59:59",NA,NA,NA
"2016-01-20 23:59:59",NA,NA,NA
"2016-01-21 23:59:59",NA,NA,NA
"2016-01-22 23:59:59",NA,NA,NA
"2016-01-23 23:59:59",NA,NA,NA
"2016-01-24 23:59:59",NA,NA,NA
"2016-01-25 23:59:59",NA,NA,NA
"2016-01-26 23:59:59",NA,NA,NA
"2016-01-27 23:59:59",NA,NA,NA
"2016-01-28 23:59:59",NA,NA,NA
"2016-01-29 23:59:59",NA,NA,NA
"2016-01-30 23:59:59",NA,NA,NA
"2016-01-31 23:59:59",NA,NA,NA
"2016-02-01 23:59:59",NA,NA,NA
"2016-02-02 23:59:59",NA,NA,NA
"2016-02-03 23:59:59",NA,NA,NA
"2016-02-04 23:59:59",NA,NA,NA
"2016-02-05 23:59:59",NA,NA,NA
"2016-02-06 23:59:59",NA,NA,NA
"2016-02-07 23:59:59",NA,NA,NA
"2016-02-08 23:59:59",NA,NA,NA
"2016-02-09 23:59:59",NA,NA,NA
"2016-02-10 23:59:59",NA,NA,NA
"2016-02-11 23:59:59",NA,NA,NA
"2016-02-12 23:59:59",NA,NA,NA
"2016-02-13 23:59:59",NA,NA,NA
"2016-02-14 23:59:59",NA,NA,NA
"2016-02-15 23:59:59",NA,NA,NA
"2016-02-16 23:59:59",NA,NA,NA
"2016-02-17 23:59:59",NA,NA,NA
"2016-02-18 23:59:59",NA,NA,NA
"2016-02-19 23:59:59",NA,NA,NA
"2016-02-20 23:59:59",NA,NA,NA
"2016-02-21 23:59:59",NA,NA,NA
"2016-02-22 23:59:59",NA,NA,NA
"2016-02-23 23:59:59",NA,NA,NA
"2016-02-24 23:59:59",NA,NA,NA
"2016-02-25 23:59:59",NA,NA,NA
"2016-02-26 23:59:59",NA,NA,NA
"2016-02-27 23:59:59",NA,NA,NA
"2016-02-28 23:59:59",NA,NA,NA
"2016-02-29 23:59:59",NA,NA,NA
"2016-03-01 23:59:59",NA,NA,NA
"2016-03-02 23:59:59",NA,NA,NA
"2016-03-03 23:59:59",NA,NA,NA
"2016-03-04 23:59:59",NA,NA,NA
"2016-03-05 23:59:59",NA,NA,NA
"2016-03-06 23:59:59",NA,NA,NA
"2016-03-07 23:59:59",NA,NA,NA
"2016-03-08 23:59:59",NA,NA,NA
"2016-03-09 23:59:59",NA,NA,NA
